FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,COMPLETED_50TH_PERCENTILE,COMPLETED_90TH_PERCENTILE
2015/16,Interior,Kootenay Boundary Regional Hospital,Hip Replacement,69,105,15.1,34.8
2015/16,Interior,Kootenay Boundary Regional Hospital,Kidney/Bladder Stone Removal,16,41,6,11.7
2015/16,Interior,Kootenay Boundary Regional Hospital,Knee - ACL Repair,17,37,16,41.4
2015/16,Interior,Kootenay Boundary Regional Hospital,Knee - Meniscectomy,13,159,9.7,31.2
2015/16,Interior,Kootenay Boundary Regional Hospital,Knee Arthroscopy,64,100,12.1,37.4
2015/16,Interior,Kootenay Boundary Regional Hospital,Knee Replacement,102,164,26.6,45.9
2015/16,Interior,Kootenay Boundary Regional Hospital,Laparoscopy,<5,6,8.1,17.6
2015/16,Interior,Kootenay Boundary Regional Hospital,Laparotomy,0,<5,,
2015/16,Interior,Kootenay Boundary Regional Hospital,Ligament Surgery,<5,8,14.2,43.6
2015/16,Interior,Kootenay Boundary Regional Hospital,Lipectomy,0,<5,,
2015/16,Interior,Kootenay Boundary Regional Hospital,Male Reproductive Surgery,23,23,24.9,66.5
2015/16,Interior,Kootenay Boundary Regional Hospital,Mastectomy,<5,57,2,6.2
2015/16,Interior,Kootenay Boundary Regional Hospital,Mastoidectomy,<5,5,25.1,35
2015/16,Interior,Kootenay Boundary Regional Hospital,Myringotomy,<5,21,7.6,11.7
2015/16,Interior,Kootenay Boundary Regional Hospital,Nasal Surgery,19,54,19.1,56.5
2015/16,Interior,Kootenay Boundary Regional Hospital,Nerve Surgery,5,20,10.6,36.7
2015/16,Interior,Kootenay Boundary Regional Hospital,Other Eye Surgery,0,<5,,
2015/16,Interior,Kootenay Boundary Regional Hospital,Other Joint Reconstruction,20,45,14.4,33
2015/16,Interior,Kootenay Boundary Regional Hospital,Other Orthopaedic Surgery,45,185,11.3,36
2015/16,Interior,Kootenay Boundary Regional Hospital,Other Urology Surgery,23,40,11.5,38.2
2015/16,Interior,Kootenay Boundary Regional Hospital,Parotidectomy,<5,6,11.7,29.8
2015/16,Interior,Kootenay Boundary Regional Hospital,Prostate Surgery,27,80,12.6,20.5
2015/16,Interior,Kootenay Boundary Regional Hospital,Rectal Surgery,<5,10,10.6,48.8
2015/16,Interior,Kootenay Boundary Regional Hospital,Shoulder Surgery,82,174,16.7,43.1
2015/16,Interior,Kootenay Boundary Regional Hospital,Sinus Surgery,17,30,37,54.1
2015/16,Interior,Kootenay Boundary Regional Hospital,Skin Surgery,0,13,3.7,19.1
2015/16,Interior,Kootenay Boundary Regional Hospital,Skin Tumour Removal,5,27,7.9,34.2
2015/16,Interior,Kootenay Boundary Regional Hospital,Tendon Surgery,<5,17,14.9,50.9
2015/16,Interior,Kootenay Boundary Regional Hospital,Thyroidectomy,<5,27,7.7,18.6
2015/16,Interior,Kootenay Boundary Regional Hospital,Tonsillectomy/Adenoidectomy,14,46,12.9,24.9
2015/16,Interior,Kootenay Boundary Regional Hospital,Tympanoplasty,5,<5,,
2015/16,Interior,Kootenay Boundary Regional Hospital,Uterine Surgery,18,65,5.1,16.7
2015/16,Interior,Kootenay Boundary Regional Hospital,Vaginal Repair,<5,13,7,25.1
2015/16,Interior,Kootenay Boundary Regional Hospital,Varicose Veins Ligation/Stripping,<5,14,39.6,51.3
2015/16,Interior,Kootenay Boundary Regional Hospital,Vascular Surgery - Other,5,43,1.9,4.6
2015/16,Interior,Kootenay Boundary Regional Hospital,Wound/Laceration Care,0,8,7,12.5
2015/16,Interior,Kootenay Lake Hospital,All Other Procedures,<5,5,1.4,5.1
2015/16,Interior,Kootenay Lake Hospital,All Procedures,387,"1,360",8.6,28
2015/16,Interior,Kootenay Lake Hospital,Biopsy in OR,0,<5,,
2015/16,Interior,Kootenay Lake Hospital,Bladder Surgery,0,8,6.2,12.9
2015/16,Interior,Kootenay Lake Hospital,Cataract Surgery,295,919,16.1,28.9
2015/16,Interior,Kootenay Lake Hospital,Cyst/Ganglion Removal,0,<5,,
2015/16,Interior,Kootenay Lake Hospital,D&C and Related Surgery,<5,38,3.9,10.1
2015/16,Interior,Kootenay Lake Hospital,Dental Surgery,37,130,8.4,16.3
2015/16,Interior,Kootenay Lake Hospital,Examination Under Anaesthetic,0,<5,,
2015/16,Interior,Kootenay Lake Hospital,Excision Lesion/Tumour,<5,<5,,
2015/16,Interior,Kootenay Lake Hospital,Fallopian Tube/Ovarian Surgery,<5,46,4.7,9.6
2015/16,Interior,Kootenay Lake Hospital,Foreign Body Removal Surgery,0,<5,,
2015/16,Interior,Kootenay Lake Hospital,Hand/Wrist Surgery,6,9,6.3,14.2
2015/16,Interior,Kootenay Lake Hospital,Hernia Repair - Abdominal,<5,10,14.6,24.6
2015/16,Interior,Kootenay Lake Hospital,Knee - Meniscectomy,10,60,5.3,13.1
2015/16,Interior,Kootenay Lake Hospital,Knee Arthroscopy,<5,13,4.3,14
2015/16,Interior,Kootenay Lake Hospital,Laparoscopy,<5,19,3.1,8.1
2015/16,Interior,Kootenay Lake Hospital,Other Eye Surgery,0,7,13.1,29.3
2015/16,Interior,Kootenay Lake Hospital,Other Joint Reconstruction,<5,<5,,
2015/16,Interior,Kootenay Lake Hospital,Other Orthopaedic Surgery,7,12,2.7,7.3
2015/16,Interior,Kootenay Lake Hospital,Skin Tumour Removal,<5,0,,
2015/16,Interior,Kootenay Lake Hospital,Sphincterotomy,0,<5,,
2015/16,Interior,Kootenay Lake Hospital,Uterine Surgery,7,57,4,9.3
2015/16,Interior,Kootenay Lake Hospital,Vaginal Repair,<5,14,4.6,10.8
2015/16,Interior,Lillooet Hospital And Health Centre,All Procedures,<5,34,9,27.6
2015/16,Interior,Lillooet Hospital And Health Centre,Appendectomy,0,<5,,
2015/16,Interior,Lillooet Hospital And Health Centre,Cyst/Ganglion Removal,0,<5,,
2015/16,Interior,Lillooet Hospital And Health Centre,D&C and Related Surgery,0,<5,,
2015/16,Interior,Lillooet Hospital And Health Centre,Dental Surgery,<5,16,14.7,32.2
2015/16,Interior,Lillooet Hospital And Health Centre,Fallopian Tube/Ovarian Surgery,0,<5,,
2015/16,Interior,Lillooet Hospital And Health Centre,Hand/Wrist Surgery,0,<5,,
2015/16,Interior,Lillooet Hospital And Health Centre,Hernia Repair - Abdominal,0,6,4.9,15.1
2015/16,Interior,Lillooet Hospital And Health Centre,Skin Tumour Removal,0,<5,,
2015/16,Interior,Penticton Regional Hospital,All Other Procedures,6,50,3.6,25.9
2015/16,Interior,Penticton Regional Hospital,All Procedures,"1,129","2,899",7,39.6
2015/16,Interior,Penticton Regional Hospital,Appendectomy,0,<5,,
2015/16,Interior,Penticton Regional Hospital,Biopsy in OR,<5,40,4.2,9.4
2015/16,Interior,Penticton Regional Hospital,Bladder Surgery,24,152,4.4,12.2
2015/16,Interior,Penticton Regional Hospital,Bowel Resection,12,84,3.4,7.7
2015/16,Interior,Penticton Regional Hospital,Breast Biopsy,5,50,3.3,7.7
2015/16,Interior,Penticton Regional Hospital,Cholecystectomy,30,85,19,41.6
2015/16,Interior,Penticton Regional Hospital,Colostomy/Ileostomy,<5,28,4.6,12.9
2015/16,Interior,Penticton Regional Hospital,Cyst/Ganglion Removal,<5,20,4.6,23
2015/16,Interior,Penticton Regional Hospital,D&C and Related Surgery,21,158,2.6,9
2015/16,Interior,Penticton Regional Hospital,Examination Under Anaesthetic,<5,15,7,24.8
2015/16,Interior,Penticton Regional Hospital,Excision Lesion/Tumour,5,10,3.1,10.5
2015/16,Interior,Penticton Regional Hospital,Fallopian Tube/Ovarian Surgery,22,83,4,12.1
2015/16,Interior,Penticton Regional Hospital,Foot/Ankle Surgery,6,15,9.3,16.8
2015/16,Interior,Penticton Regional Hospital,Foreign Body Removal Surgery,<5,<5,,
2015/16,Interior,Penticton Regional Hospital,Fracture Repair,<5,7,7,15.8
2015/16,Interior,Penticton Regional Hospital,Hand/Wrist Surgery,23,67,16.7,29.7
2015/16,Interior,Penticton Regional Hospital,Hernia Repair - Abdominal,105,254,15.9,38.2
2015/16,Interior,Penticton Regional Hospital,Hernia Repair - Hiatal,0,<5,,
2015/16,Interior,Penticton Regional Hospital,Hip Replacement,134,133,37,52.3
2015/16,Interior,Penticton Regional Hospital,Kidney/Bladder Stone Removal,15,63,3.6,8.4
2015/16,Interior,Penticton Regional Hospital,Knee - ACL Repair,16,15,20.6,54.3
2015/16,Interior,Penticton Regional Hospital,Knee - Meniscectomy,27,91,10.4,33.7
2015/16,Interior,Penticton Regional Hospital,Knee Arthroscopy,49,90,8.8,36.7
2015/16,Interior,Penticton Regional Hospital,Knee Replacement,253,179,41,57.1
2015/16,Interior,Penticton Regional Hospital,Laparoscopy,<5,35,3.4,14.7
2015/16,Interior,Penticton Regional Hospital,Laparotomy,0,<5,,
2015/16,Interior,Penticton Regional Hospital,Ligament Surgery,<5,0,,
2015/16,Interior,Penticton Regional Hospital,Male Reproductive Surgery,24,34,25.6,50
2015/16,Interior,Penticton Regional Hospital,Mastectomy,6,93,3,5.4
2015/16,Interior,Penticton Regional Hospital,Mastoidectomy,<5,<5,,
2015/16,Interior,Penticton Regional Hospital,Myringotomy,<5,12,2.6,8.8
2015/16,Interior,Penticton Regional Hospital,Nasal Surgery,25,66,13.7,41
2015/16,Interior,Penticton Regional Hospital,Nerve Surgery,<5,6,6.8,18.4
2015/16,Interior,Penticton Regional Hospital,Oral Cavity & Pharynx Surgery,0,<5,,
2015/16,Interior,Penticton Regional Hospital,Other Ear Surgery,<5,<5,,
2015/16,Interior,Penticton Regional Hospital,Other Eye Surgery,0,<5,,
2015/16,Interior,Penticton Regional Hospital,Other Joint Reconstruction,41,56,9.6,21.5
2015/16,Interior,Penticton Regional Hospital,Other Orthopaedic Surgery,40,88,6.4,25
2015/16,Interior,Penticton Regional Hospital,Other Urology Surgery,17,80,4.4,25.9
2015/16,Interior,Penticton Regional Hospital,Parotidectomy,<5,10,11.4,16.3
2015/16,Interior,Penticton Regional Hospital,Prostate Surgery,31,111,5.4,27.4
2015/16,Interior,Penticton Regional Hospital,Rectal Surgery,<5,15,6.9,26.4
2015/16,Interior,Penticton Regional Hospital,Shoulder Surgery,46,92,9.6,31.1
2015/16,Interior,Penticton Regional Hospital,Sinus Surgery,19,74,15.5,50.1
2015/16,Interior,Penticton Regional Hospital,Skin Surgery,0,<5,,
2015/16,Interior,Penticton Regional Hospital,Skin Tumour Removal,13,42,4,13
2015/16,Interior,Penticton Regional Hospital,Sphincterotomy,<5,5,10.1,13.4
2015/16,Interior,Penticton Regional Hospital,Tendon Surgery,0,<5,,
2015/16,Interior,Penticton Regional Hospital,Thyroidectomy,<5,13,8,13.4
2015/16,Interior,Penticton Regional Hospital,Tonsillectomy/Adenoidectomy,21,54,8,24.2
2015/16,Interior,Penticton Regional Hospital,Tympanoplasty,5,19,14,23.1
2015/16,Interior,Penticton Regional Hospital,Uterine Surgery,38,190,4.2,16
2015/16,Interior,Penticton Regional Hospital,Vaginal Repair,10,57,5.3,16
2015/16,Interior,Penticton Regional Hospital,Varicose Veins Ligation/Stripping,<5,9,13.7,20.7
2015/16,Interior,Penticton Regional Hospital,Vascular Surgery - Other,<5,24,2,4.9
2015/16,Interior,Penticton Regional Hospital,Wound/Laceration Care,0,5,4.3,12.4
2015/16,Interior,Pleasant Valley Health Centre,All Other Procedures,0,<5,,
2015/16,Interior,Pleasant Valley Health Centre,All Procedures,"1,062","2,403",17.7,40.7
2015/16,Interior,Pleasant Valley Health Centre,Cataract Surgery,"1,058","2,347",18.1,41.1
2015/16,Interior,Pleasant Valley Health Centre,Foreign Body Removal Surgery,0,14,0.2,0.9
2015/16,Interior,Pleasant Valley Health Centre,Other Eye Surgery,<5,38,5.4,15.2
2015/16,Interior,Pleasant Valley Health Centre,Skin Tumour Removal,0,<5,,
2015/16,Interior,Queen Victoria Hospital,All Other Procedures,0,5,7,9.1
2015/16,Interior,Queen Victoria Hospital,All Procedures,45,195,5.1,12
2015/16,Interior,Queen Victoria Hospital,Biopsy in OR,0,<5,,
2015/16,Interior,Queen Victoria Hospital,Cyst/Ganglion Removal,<5,<5,,
2015/16,Interior,Queen Victoria Hospital,D&C and Related Surgery,0,<5,,
2015/16,Interior,Queen Victoria Hospital,Examination Under Anaesthetic,0,<5,,
2015/16,Interior,Queen Victoria Hospital,Fallopian Tube/Ovarian Surgery,0,6,10.4,11.6
2015/16,Interior,Queen Victoria Hospital,Foreign Body Removal Surgery,0,<5,,
2015/16,Interior,Queen Victoria Hospital,Hand/Wrist Surgery,8,55,4.1,10.1
2015/16,Interior,Queen Victoria Hospital,Hernia Repair - Abdominal,8,33,7.6,20
2015/16,Interior,Queen Victoria Hospital,Knee - Meniscectomy,0,<5,,
2015/16,Interior,Queen Victoria Hospital,Knee Arthroscopy,9,48,4.3,9.8
2015/16,Interior,Queen Victoria Hospital,Male Reproductive Surgery,<5,<5,,
2015/16,Interior,Queen Victoria Hospital,Nerve Surgery,0,11,5.9,22.6
2015/16,Interior,Queen Victoria Hospital,Other Joint Reconstruction,<5,<5,,
2015/16,Interior,Queen Victoria Hospital,Other Orthopaedic Surgery,<5,10,6.5,11.8
2015/16,Interior,Queen Victoria Hospital,Rectal Surgery,5,0,,
2015/16,Interior,Queen Victoria Hospital,Skin Tumour Removal,0,<5,,
2015/16,Interior,Queen Victoria Hospital,Sphincterotomy,0,<5,,
2015/16,Interior,Queen Victoria Hospital,Tonsillectomy/Adenoidectomy,9,5,6,12.9
2015/16,Interior,Queen Victoria Hospital,Uterine Surgery,0,8,6.6,10.5
2015/16,Interior,Queen Victoria Hospital,Varicose Veins Ligation/Stripping,0,<5,,
2015/16,Interior,Royal Inland Hospital,Abdominoplasty,0,6,2.9,4.5
2015/16,Interior,Royal Inland Hospital,All Other Procedures,24,144,4.6,13.4
2015/16,Interior,Royal Inland Hospital,All Procedures,"3,083","9,105",8,37.9
2015/16,Interior,Royal Inland Hospital,Aortic Aneurysm Repair,<5,5,0.1,1.6
2015/16,Interior,Royal Inland Hospital,Appendectomy,<5,9,6,10.7
2015/16,Interior,Royal Inland Hospital,Biopsy in OR,5,48,1.9,6.7
2015/16,Interior,Royal Inland Hospital,Bladder Surgery,64,258,3.3,30.5
2015/16,Interior,Royal Inland Hospital,Bowel Resection,11,139,3.1,8.3
2015/16,Interior,Royal Inland Hospital,Breast Biopsy,<5,61,1.7,4.9
2015/16,Interior,Royal Inland Hospital,Breast Reconstruction,8,78,3,12.9
2015/16,Interior,Royal Inland Hospital,Breast Reduction,22,125,5.4,22.4
2015/16,Interior,Royal Inland Hospital,Cataract Surgery,689,"1,899",23,42.7
2015/16,Interior,Royal Inland Hospital,Cholecystectomy,55,194,4.8,17.1
2015/16,Interior,Royal Inland Hospital,Colostomy/Ileostomy,5,21,4.6,11.4
2015/16,Interior,Royal Inland Hospital,Cone Biopsy,<5,12,2.1,7.9
2015/16,Interior,Royal Inland Hospital,Cranial Surgery,<5,45,1.4,7.1
2015/16,Interior,Royal Inland Hospital,Cyst/Ganglion Removal,5,27,7,20.7
2015/16,Interior,Royal Inland Hospital,D&C and Related Surgery,51,197,3.7,13.7
2015/16,Interior,Royal Inland Hospital,Dental Surgery,133,347,15,43.1
2015/16,Interior,Royal Inland Hospital,Endarterectomy,0,20,0.1,1.6
2015/16,Interior,Royal Inland Hospital,Esophagectomy,<5,<5,,
2015/16,Interior,Royal Inland Hospital,Examination Under Anaesthetic,<5,14,5.1,22.7
2015/16,Interior,Royal Inland Hospital,Excision Gynecomastia,0,<5,,
2015/16,Interior,Royal Inland Hospital,Excision Lesion/Tumour,13,60,1.9,6
2015/16,Interior,Royal Inland Hospital,Facial Bone Reconstruction,0,<5,,
2015/16,Interior,Royal Inland Hospital,Fallopian Tube/Ovarian Surgery,44,194,4.2,14.4
2015/16,Interior,Royal Inland Hospital,Foot/Ankle Surgery,<5,5,7,14
2015/16,Interior,Royal Inland Hospital,Foreign Body Removal Surgery,<5,<5,,
2015/16,Interior,Royal Inland Hospital,Fracture Repair,<5,52,0.7,9
2015/16,Interior,Royal Inland Hospital,Free Flap Graft,0,<5,,
2015/16,Interior,Royal Inland Hospital,Hand/Wrist Surgery,27,78,13.6,33.2
2015/16,Interior,Royal Inland Hospital,Hernia Repair - Abdominal,104,311,7.7,23.9
2015/16,Interior,Royal Inland Hospital,Hernia Repair - Hiatal,<5,9,15.1,34.6
2015/16,Interior,Royal Inland Hospital,Hip Replacement,234,264,35.9,101.5
2015/16,Interior,Royal Inland Hospital,Kidney/Bladder Stone Removal,23,107,5,15.7
2015/16,Interior,Royal Inland Hospital,Knee - ACL Repair,25,88,5.8,20.7
2015/16,Interior,Royal Inland Hospital,Knee - Meniscectomy,68,212,9.9,44.4
2015/16,Interior,Royal Inland Hospital,Knee Arthroscopy,70,144,5.8,25.8
2015/16,Interior,Royal Inland Hospital,Knee Replacement,323,372,36.3,56.7
2015/16,Interior,Royal Inland Hospital,Laparoscopy,11,55,5.7,13.9
2015/16,Interior,Royal Inland Hospital,Laparotomy,0,<5,,
2015/16,Interior,Royal Inland Hospital,Lens & Vitreous (non-cataract) Surgery,35,243,0.4,15
2015/16,Interior,Royal Inland Hospital,Ligament Surgery,<5,6,5.8,9.9
2015/16,Interior,Royal Inland Hospital,Lipectomy,<5,11,3.4,6.3
2015/16,Interior,Royal Inland Hospital,Male Reproductive Surgery,38,67,15.1,50.8
2015/16,Interior,Royal Inland Hospital,Mastectomy,19,175,2,4.7
2015/16,Interior,Royal Inland Hospital,Mastoidectomy,<5,<5,,
2015/16,Interior,Royal Inland Hospital,Myringotomy,5,54,5.2,10.6
2015/16,Interior,Royal Inland Hospital,Nasal Surgery,68,135,22.7,57.6
2015/16,Interior,Royal Inland Hospital,Nerve Surgery,157,242,4.5,41.8
2015/16,Interior,Royal Inland Hospital,Oral Cavity & Pharynx Surgery,0,<5,,
2015/16,Interior,Royal Inland Hospital,Other Ear Surgery,<5,7,5.1,10.8
2015/16,Interior,Royal Inland Hospital,Other Eye Surgery,0,26,0.1,1.5
2015/16,Interior,Royal Inland Hospital,Other Joint Reconstruction,44,123,13.7,40.1
2015/16,Interior,Royal Inland Hospital,Other Orthopaedic Surgery,118,310,7.8,42
2015/16,Interior,Royal Inland Hospital,Other Urology Surgery,23,120,5.9,21.7
2015/16,Interior,Royal Inland Hospital,Parotidectomy,<5,12,6.4,21
2015/16,Interior,Royal Inland Hospital,Prostate Surgery,40,200,4.4,24.6
2015/16,Interior,Royal Inland Hospital,Rectal Surgery,8,40,6.1,34
2015/16,Interior,Royal Inland Hospital,Rib Resection,0,<5,,
2015/16,Interior,Royal Inland Hospital,Shoulder Surgery,26,197,2.3,9.2
2015/16,Interior,Royal Inland Hospital,Shunt Insertion/Removal,<5,<5,,
2015/16,Interior,Royal Inland Hospital,Sinus Surgery,60,110,9.9,35
2015/16,Interior,Royal Inland Hospital,Skin Surgery,<5,42,2.8,11
2015/16,Interior,Royal Inland Hospital,Skin Tumour Removal,8,51,3,8
2015/16,Interior,Royal Inland Hospital,Sphincterotomy,<5,<5,,
2015/16,Interior,Royal Inland Hospital,Spinal/Back Surgery,164,264,4.4,32.6
2015/16,Interior,Royal Inland Hospital,Tendon Surgery,11,59,2.9,17.4
2015/16,Interior,Royal Inland Hospital,Thyroidectomy,14,44,6.9,13.3
2015/16,Interior,Royal Inland Hospital,Tonsillectomy/Adenoidectomy,34,178,11.3,32.7
2015/16,Interior,Royal Inland Hospital,Tympanoplasty,15,32,20.2,68.4
2015/16,Interior,Royal Inland Hospital,Uterine Surgery,82,411,4.7,15.6
2015/16,Interior,Royal Inland Hospital,Vaginal Repair,27,76,8.9,26.1
2015/16,Interior,Royal Inland Hospital,Varicose Veins Ligation/Stripping,15,35,4,19.3
2015/16,Interior,Royal Inland Hospital,Vascular Bypass Graft - Non Cardiac,5,89,1.1,8.6
2015/16,Interior,Royal Inland Hospital,Vascular Surgery - Other,6,101,1.1,3.1
2015/16,Interior,Royal Inland Hospital,Wound/Laceration Care,<5,16,0.9,8.9
2015/16,Interior,Shuswap Lake General Hospital,All Other Procedures,<5,22,6.8,10.3
2015/16,Interior,Shuswap Lake General Hospital,All Procedures,411,"1,191",8,22.1
2015/16,Interior,Shuswap Lake General Hospital,Appendectomy,<5,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Biopsy in OR,5,20,3.4,10.9
2015/16,Interior,Shuswap Lake General Hospital,Bladder Surgery,<5,8,6,16.8
2015/16,Interior,Shuswap Lake General Hospital,Bowel Resection,<5,26,4.6,8.5
2015/16,Interior,Shuswap Lake General Hospital,Breast Biopsy,<5,15,4,7.4
2015/16,Interior,Shuswap Lake General Hospital,Breast Reconstruction,0,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Cholecystectomy,13,57,6.3,12.5
2015/16,Interior,Shuswap Lake General Hospital,Colostomy/Ileostomy,0,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Cone Biopsy,<5,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Cyst/Ganglion Removal,9,24,7.4,22.4
2015/16,Interior,Shuswap Lake General Hospital,D&C and Related Surgery,67,90,14,24.2
2015/16,Interior,Shuswap Lake General Hospital,Dental Surgery,5,15,23.4,31
2015/16,Interior,Shuswap Lake General Hospital,Examination Under Anaesthetic,0,5,4.9,9.7
2015/16,Interior,Shuswap Lake General Hospital,Excision Lesion/Tumour,5,11,3.4,14
2015/16,Interior,Shuswap Lake General Hospital,Fallopian Tube/Ovarian Surgery,29,34,16.2,26.8
2015/16,Interior,Shuswap Lake General Hospital,Foot/Ankle Surgery,<5,5,10.3,11.6
2015/16,Interior,Shuswap Lake General Hospital,Foreign Body Removal Surgery,<5,13,5.7,10
2015/16,Interior,Shuswap Lake General Hospital,Gastrostomy/Jejunostomy,0,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Hand/Wrist Surgery,23,98,7.8,16.8
2015/16,Interior,Shuswap Lake General Hospital,Hernia Repair - Abdominal,42,139,7.9,18.9
2015/16,Interior,Shuswap Lake General Hospital,Hernia Repair - Hiatal,<5,8,12.6,20.4
2015/16,Interior,Shuswap Lake General Hospital,Knee - Meniscectomy,<5,114,8.1,16
2015/16,Interior,Shuswap Lake General Hospital,Knee Arthroscopy,28,38,6.4,14.3
2015/16,Interior,Shuswap Lake General Hospital,Laparoscopy,10,26,9.3,25.5
2015/16,Interior,Shuswap Lake General Hospital,Laparotomy,0,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Ligament Surgery,0,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Male Reproductive Surgery,18,11,6.1,15.6
2015/16,Interior,Shuswap Lake General Hospital,Mastectomy,5,15,3.9,5.3
2015/16,Interior,Shuswap Lake General Hospital,Nerve Surgery,6,51,9,14.7
2015/16,Interior,Shuswap Lake General Hospital,Oral Cavity & Pharynx Surgery,0,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Other Joint Reconstruction,<5,19,7.9,12.6
2015/16,Interior,Shuswap Lake General Hospital,Other Orthopaedic Surgery,17,66,7.6,18
2015/16,Interior,Shuswap Lake General Hospital,Other Urology Surgery,<5,17,6.4,22.7
2015/16,Interior,Shuswap Lake General Hospital,Rectal Surgery,6,17,6.3,14.7
2015/16,Interior,Shuswap Lake General Hospital,Skin Surgery,0,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Skin Tumour Removal,21,67,5,13.6
2015/16,Interior,Shuswap Lake General Hospital,Sphincterotomy,<5,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Tendon Surgery,0,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Thyroidectomy,0,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Uterine Surgery,29,58,14.4,30.4
2015/16,Interior,Shuswap Lake General Hospital,Vaginal Repair,28,33,18,30.6
2015/16,Interior,Shuswap Lake General Hospital,Varicose Veins Ligation/Stripping,19,36,22.9,35.9
2015/16,Interior,Shuswap Lake General Hospital,Vascular Surgery - Other,0,<5,,
2015/16,Interior,Shuswap Lake General Hospital,Wound/Laceration Care,0,<5,,
2015/16,Interior,Summerland Memorial Health Centre,All Procedures,777,"2,299",8.6,25.9
2015/16,Interior,Summerland Memorial Health Centre,Biopsy in OR,<5,15,2.9,7.1
2015/16,Interior,Summerland Memorial Health Centre,Cataract Surgery,609,"1,568",9.1,29
2015/16,Interior,Summerland Memorial Health Centre,Dental Surgery,89,338,8.3,21.5
2015/16,Interior,Summerland Memorial Health Centre,Examination Under Anaesthetic,0,<5,,
2015/16,Interior,Summerland Memorial Health Centre,Excision Lesion/Tumour,<5,7,1.9,6.2
2015/16,Interior,Summerland Memorial Health Centre,Foreign Body Removal Surgery,0,<5,,
2015/16,Interior,Summerland Memorial Health Centre,Free Flap Graft,0,<5,,
2015/16,Interior,Summerland Memorial Health Centre,Lens & Vitreous (non-cataract) Surgery,0,<5,,
2015/16,Interior,Summerland Memorial Health Centre,Myringotomy,<5,22,3.4,9.5
2015/16,Interior,Summerland Memorial Health Centre,Nasal Surgery,37,119,9.1,20.6
2015/16,Interior,Summerland Memorial Health Centre,Oral Cavity & Pharynx Surgery,0,<5,,
2015/16,Interior,Summerland Memorial Health Centre,Other Ear Surgery,<5,0,,
2015/16,Interior,Summerland Memorial Health Centre,Other Eye Surgery,6,26,4.2,18.1
2015/16,Interior,Summerland Memorial Health Centre,Sinus Surgery,6,52,11.1,19.9
2015/16,Interior,Summerland Memorial Health Centre,Skin Tumour Removal,<5,31,2.7,7
2015/16,Interior,Summerland Memorial Health Centre,Tonsillectomy/Adenoidectomy,21,116,7.9,16.1
2015/16,Interior,Vernon Jubilee Hospital,All Other Procedures,19,95,4.7,25.6
2015/16,Interior,Vernon Jubilee Hospital,All Procedures,"1,536","3,931",7.3,48.3
2015/16,Interior,Vernon Jubilee Hospital,Appendectomy,<5,0,,
2015/16,Interior,Vernon Jubilee Hospital,Biopsy in OR,14,108,4.9,16.6
2015/16,Interior,Vernon Jubilee Hospital,Bladder Surgery,16,116,3.1,12.2
2015/16,Interior,Vernon Jubilee Hospital,Bowel Resection,9,100,2.9,9.3
2015/16,Interior,Vernon Jubilee Hospital,Breast Biopsy,<5,30,2.9,4.6
2015/16,Interior,Vernon Jubilee Hospital,Cholecystectomy,30,148,4.7,14
2015/16,Interior,Vernon Jubilee Hospital,Colostomy/Ileostomy,<5,25,6.4,23.1
2015/16,Interior,Vernon Jubilee Hospital,Cone Biopsy,0,<5,,
2015/16,Interior,Vernon Jubilee Hospital,Cyst/Ganglion Removal,10,29,7.6,31.1
2015/16,Interior,Vernon Jubilee Hospital,D&C and Related Surgery,21,190,2.9,7.4
2015/16,Interior,Vernon Jubilee Hospital,Dental Surgery,32,18,41.3,123.1
2015/16,Interior,Vernon Jubilee Hospital,Examination Under Anaesthetic,<5,7,7.1,27.1
2015/16,Interior,Vernon Jubilee Hospital,Excision Lesion/Tumour,8,29,3.3,11.5
2015/16,Interior,Vernon Jubilee Hospital,Fallopian Tube/Ovarian Surgery,11,64,3.4,11.6
2015/16,Interior,Vernon Jubilee Hospital,Foot/Ankle Surgery,6,12,20.6,32.4
2015/16,Interior,Vernon Jubilee Hospital,Foreign Body Removal Surgery,0,<5,,
2015/16,Interior,Vernon Jubilee Hospital,Fracture Repair,8,6,1.5,2.6
2015/16,Interior,Vernon Jubilee Hospital,Gastrostomy/Jejunostomy,0,<5,,
2015/16,Interior,Vernon Jubilee Hospital,Hand/Wrist Surgery,10,40,8.1,31.5
2015/16,Interior,Vernon Jubilee Hospital,Hernia Repair - Abdominal,143,473,7.6,28.5
2015/16,Interior,Vernon Jubilee Hospital,Hernia Repair - Hiatal,11,8,15.9,28.1
